handle,tag,depth,seed,type,language,language_default_policy,lang_confidence,n_msgs,n_posts,n_text_msgs,n_forward_msgs,median_views,subscribers,modal_hour_utc
skadi_omsk_kanal,ru,2,False,channel,ru,ru,1.0,13,13,12,4,256,169,3
skadovsk24_news_bot,ru,2,False,empty,unknown,unknown,0.0,0,0,0,0,,,
skajinemolchi,ru,2,False,channel,ru,ru,1.0,84,79,76,0,448,1404,7
skazkisashi,ru,2,False,empty,unknown,unknown,0.0,0,0,0,0,,5,
skazochnoebalie,ru,2,False,channel,ru,ru,0.995,565,528,175,293,7507,22757,11
skfo_telegraph,ru,2,False,channel,ru,ru,1.0,152,131,131,49,6558,22302,10
skfopost,ru,2,False,channel,ru,ru,1.0,266,241,236,58,1291,4328,7
ski_tatarstan,ru,2,False,channel,ru,ru,1.0,51,36,35,5,804,5445,12
skiperkakao,ru,2,False,channel,ru,ru,1.0,18,18,16,4,2719,3071,8
skipetrrf,ru,2,False,channel,ru,ru,1.0,3,3,3,0,4670,2486,6
skladrussia,ru,2,False,channel,ru,ru,1.0,234,225,210,0,137,5073,9
skoblikov_ds,ru,2,False,channel,ru,ru,1.0,76,34,30,6,402,1071,14
skobtsov_v,ru,2,False,channel,ru,ru,0.993,183,147,144,100,284,1267,13
skolkovolive,ru,2,False,channel,ru,ru,1.0,80,59,59,3,2233,42228,6
skomorohboiarin,ru,2,False,channel,ru,ru,0.997,60,60,58,0,10938,14757,7
skorikovivan,ru,2,False,channel,ru,ru,0.997,161,145,144,51,838,2603,16
skotobaza_chel,ru,2,False,channel,ru,ru,0.991,776,480,456,142,304,3533,5
skovoroda,ru,2,False,channel,ru,ru,1.0,41,35,35,5,1646,3184,9
skovorodnikov_live,ru,2,False,channel,ru,ru,1.0,81,62,62,3,50,312,2
skripachh,ru,2,False,empty,unknown,unknown,0.0,0,0,0,0,,,
skripkaskripka,ru,2,False,channel,ru,ru,1.0,99,82,82,63,472,1489,10
skuratoff_2_0,ru,2,False,channel,ru,ru,0.997,701,599,599,17,670,5121,5
skusecret,ru,2,False,channel,ru,ru,1.0,524,434,427,30,58,833,16
skuznetsov_nvkz,ru,2,False,channel,ru,ru,1.0,632,216,195,1,7037,10922,3
skymaker,ru,2,False,empty,unknown,unknown,0.0,0,0,0,0,,,
skzd_official,ru,2,False,channel,ru,ru,1.0,55,33,33,37,283,4854,12
slaboumieiotvaga1,ru,2,False,channel,ru,ru,1.0,109,103,103,1,2406,7691,11
slatinov,ru,2,False,channel,ru,ru,1.0,32,32,32,7,394,1098,12
slava_bogy,ru,2,False,channel,ru,ru,1.0,206,198,149,2,4365,17743,15
slavabarabinsk,ru,2,False,empty,unknown,unknown,0.0,0,0,0,0,,,
slavasev1917,ru,2,False,channel,ru,ru,0.997,157,113,105,83,47,511,7
slavyangvardiya,ru,2,False,channel,ru,ru,1.0,88,42,42,34,129,52,16
sledcom04,ru,2,False,channel,ru,ru,1.0,143,86,85,76,97,1025,5
slepobrag,ru,2,False,channel,ru,ru,0.994,384,360,343,83,733,2648,18
slezhuza_polit,ru,2,False,channel,unknown,ru,0.0,1847,1533,1520,1845,4922,7852,9
sliozi_and_ulibka,ru,2,False,channel,ru,ru,1.0,41,40,30,17,438,225,14
slivivzsu,ru,2,False,channel,ru,ru,1.0,276,205,203,20,458,1379,8
slivnayakrysask,ru,2,False,empty,unknown,unknown,0.0,0,0,0,0,,24566,
slivyfromrynk,ru,2,False,channel,ru,ru,1.0,13,13,13,1,987,1004,9
slivypervogo,ru,2,False,channel,ru,ru,1.0,823,582,576,495,442,1311,14
slova1000,ru,2,False,channel,ru,ru,1.0,142,131,131,5,3566,10897,4
slovievlive,ru,2,False,channel,ru,ru,1.0,2402,2010,2004,1738,1747,14396,12
slovoitelo,ru,2,False,empty,unknown,unknown,0.0,0,0,0,0,,,
sluchkorr,ru,2,False,empty,unknown,unknown,0.0,0,0,0,0,,1,
slyzhba_zanyatosti_kherson_obl,ru,2,False,channel,ru,ru,1.0,35,26,25,17,2034,1485,14
smallpharm,ru,2,False,channel,ru,ru,1.0,63,55,39,32,1583,3307,22
smartdealofficial,ru,2,False,channel,ru,ru,1.0,22,18,16,0,696,1937,7
smarterthanthou,ru,2,False,channel,ru,ru,1.0,60,57,57,0,524,528,10
smersh_1pbf,ru,2,False,channel,ru,ru,0.995,237,192,182,182,109,161,14
smety,ru,2,False,channel,ru,ru,0.994,77,77,77,4,4375,21116,5
smi35,ru,2,False,channel,ru,ru,1.0,462,362,362,31,899,6232,12
smi_moscow,ru,2,False,channel,ru,ru,1.0,30,30,30,0,23475,12145,8
smicrimea,ru,2,False,channel,ru,ru,1.0,590,501,487,39,1588,9909,7
smile_angell,ru,2,False,channel,ru,ru,0.985,117,117,117,0,1124,1379,7
smirnova_nata13,ru,2,False,channel,ru,ru,0.983,83,66,62,35,364,1943,15
smirusnews,ru,2,False,channel,ru,ru,1.0,2342,1753,1735,68,1788,22399,9
smmrus,ru,2,False,channel,ru,ru,1.0,112,88,88,2,30138,125146,10
smolensk_i,ru,2,False,channel,ru,ru,1.0,727,727,727,0,146,2204,9
smolenta,ru,2,False,channel,ru,ru,1.0,127,127,117,29,401,2039,8
smolleaks,ru,2,False,channel,ru,ru,0.992,36,29,29,1,1849,4181,11
